source,target,type
3308948,3007086,Undirected
3777275,12710386,Undirected
3613152,32486569,Undirected
3765229,37415601,Undirected
3765229,49858181,Undirected
3381000,45420835,Undirected
3342964,27982218,Undirected
3342964,33720317,Undirected
3342964,3297493,Undirected
3342964,48548443,Undirected
3342964,49915966,Undirected
3494319,2899885,Undirected
3226315,26144851,Undirected
3226315,51106337,Undirected
3213864,31141007,Undirected
3213864,24905245,Undirected
3213864,19012164,Undirected
3213864,45052335,Undirected
3213864,48588521,Undirected
36974205,45163881,Undirected
36974205,45420835,Undirected
36974205,45483445,Undirected
36974205,2899885,Undirected
37083408,45039324,Undirected
37083408,49853610,Undirected
37083408,50023378,Undirected
3576665,45205235,Undirected
49554125,2046282,Undirected
55961006,2046188,Undirected
55743327,37180945,Undirected
55743327,49736680,Undirected
57440073,28116313,Undirected
58762428,45681822,Undirected
62352567,12385024,Undirected
62352567,28116313,Undirected
47162623,45036233,Undirected
31922536,37180945,Undirected
10449583,34162327,Undirected
10124104,45252134,Undirected
10124104,3370569,Undirected
10501392,45542224,Undirected
10501392,49610204,Undirected
10501392,49736680,Undirected
10501392,49855224,Undirected
10452934,49885058,Undirected
10317576,45681822,Undirected
10317576,4515800,Undirected
10317576,3297493,Undirected
10441762,45185186,Undirected
10441762,29378583,Undirected
10441762,49641638,Undirected
17007913,47570086,Undirected
17007913,5523348,Undirected
16252112,12702405,Undirected
16252112,47570086,Undirected
16405225,32686082,Undirected
20086647,26730771,Undirected
19724668,25971688,Undirected
19489129,37415601,Undirected
19446532,27851364,Undirected
19446532,31267614,Undirected
19446532,2392988,Undirected
21181679,7562624,Undirected
21357362,51106337,Undirected
21357362,36538624,Undirected
21185435,47130158,Undirected
21185435,29667099,Undirected
21185435,3406936,Undirected
21185435,3370569,Undirected
21185435,49967773,Undirected
21185435,49829307,Undirected
21146417,48548443,Undirected
21341406,52476419,Undirected
21341406,25971688,Undirected
21341406,5523348,Undirected
21133077,49936891,Undirected
37583744,31896749,Undirected
37583744,47149066,Undirected
37583744,49736680,Undirected
37583744,49763300,Undirected
38240969,5523348,Undirected
50287956,61733608,Undirected
8406720,12702405,Undirected
8406720,30311456,Undirected
8406720,31008675,Undirected
8406720,30887944,Undirected
8406720,26045599,Undirected
8406720,2178427,Undirected
